VIN [V],	VOUT [V], 	FASE [Â°], 	FREQUENZA [HZ]
997E-3,		990E-3,		-5.5,		100,
996E-3,		975E-3,		-11.1,		200,
994E-3,		950E-3,		-16.9,		300,
991E-3,		918E-3,		-21.9,		400,
988E-3,		880E-3,		-26.9,		500,
984E-3,		841E-3,		-31.3,		600,
981E-3,		801E-3,		-35.9,		700,
975E-3,		722E-3,		-42.8,		900,
972E-3,		685E-3,		-45,		1E3,
968E-3,		617E-3,		-50.1,		1.2E3,
964E-3,		558E-3,		-54.5,		1.4E3,
960E-3,		484E-3,		-60,		1.7E3,
957E-3,		408E-3,		-64.6,		2.1E3,
953E-3,		318E-3,		-70.3,		2.8E3,
952E-3,		253E-3,		-75,		3.6E3,
952E-3,		162E-3,		-80,		5.7E3,
949E-3,		78E-3,		-85,		12.2E3,
