VIN [V],	VOUT [V],	FASE [Â°],	FREQUENZA [HZ]
948E-3,		6E-3,		-90,		10E3,
948E-3,		48E-3,		-84,		6.9E3,
950E-3,		145E-3,		-80,		3.6E3,
951E-3,		237E-3,		-75,		2.35E3,
953E-3,		309E-3,		-70.5,		1.8E3,
956E-3,		388E-3,		-65.5,		1.4E3,
960E-3,		477E-3,		-59.8,		1.1E3,
964E-3,		555E-3,		-54.7,		900,
968E-3,		620E-3,		-50.0,		760,
972E-3,		684E-3,		-45.2,		640,
977E-3,		750E-3,		-40.0,		530,
981E-3,		800E-3,		-35.2,		450,
985E-3,		850E-3,		-30.5,		370,
988E-3,		892E-3,		-24.5,		300,
992E-3,		931E-3,		-19.9,		230,
994E-3,		959E-3,		-15.0,		170,
995E-3,		979E-3,		-9.9,		110,
996E-3,		991E-3,		-4.8,		50,
996E-3,		994E-3,		-1.9,		25,
948E-3,		41E-3,		82,		14E3,
949E-3,		156E-3,		79,		30E3,
950E-3,		235E-3,		75.2,		42E3,
953E-3,		312E-3,		70.5,		56E3,
955E-3,		392E-3,		65.0,		72E3,
958E-3,		475E-3,		60.0,		88E3,
960E-3,		545E-3,		55.0,		105E3,
968E-3,		624E-3,		50.0,		125E3,
970E-3,		676E-3,		46.0,		140E3,
975E-3,		740E-3,		40.0,		160E3,
978E-3,		815E-3,		34.0,		190E3,
982E-3,		858E-3,		29.5,		210E3,
986E-3,		890E-3,		25.3,		240E3,
988E-3,		932E-3,		20.0,		270E3,
991E-3,		957E-3,		15.5,		300E3,
992E-3,		974E-3,		10.5,		330E3,
995E-3,		988E-3,		5.3,		370E3,
992E-3,		989E-3,		0.0,		415E3,
990E-3,		966E-3,		-10.0,		530E3,
985E-3,		910E-3,		-20.0,		666E3,
973E-3,		800E-3,		-31.0,		900E3,
962E-3,		675E-3,		-41.0,		1.2E6,
952E-3,		548E-3,		-50.0,		1.6E6,
926E-3,		348E-3,		-60.0,		2.7E6,
800E-3,		140E-3,		-60.0,		7.0E6,
590E-3,		70E-3,		-60.0,		15.0E6,
